iter	RMSE
0	0.07471079138
1	0.07377209432
2	0.0729751471
3	0.07251292934
4	0.07210895203
5	0.07178567745
6	0.07148228808
7	0.07136623549
8	0.07117333631
9	0.07101665404
10	0.07085525464
11	0.07062933569
12	0.07048439937
13	0.07045005427
14	0.07037122299
15	0.07030153563
16	0.07025132796
17	0.07020827314
18	0.07015098571
19	0.07008849405
20	0.07005729985
21	0.0700203288
22	0.06998999807
23	0.06996886069
24	0.06993033841
25	0.06990096741
26	0.06988518951
27	0.06984988257
28	0.069834196
29	0.06982001687
30	0.06979553666
31	0.06977704858
32	0.06974988706
33	0.06974003173
34	0.06971517783
35	0.06969665429
36	0.06967419769
37	0.0696455987
38	0.06962864132
39	0.06961363179
40	0.06957626717
41	0.06956513587
42	0.06954667967
43	0.06952940005
44	0.06950369145
45	0.06948659671
46	0.06946716927
47	0.06945071624
48	0.06944145449
49	0.06942828533
50	0.06941081454
51	0.06939351617
52	0.06938021563
53	0.06936100656
54	0.06934899786
55	0.06933811726
56	0.0693243053
57	0.06931237758
58	0.0692806504
59	0.06925951143
60	0.06923949506
61	0.06922792206
62	0.06919269096
63	0.06917675863
64	0.06915621828
65	0.06912819558
66	0.06908828182
67	0.0690647672
68	0.06903064794
69	0.06897995043
70	0.06893229996
71	0.06889122254
72	0.06886685252
73	0.06884511023
74	0.0688118142
75	0.0687772675
76	0.06874636529
77	0.06869514368
78	0.06865997279
79	0.06862938949
80	0.06859487228
81	0.06856568072
82	0.06854048875
83	0.06850989543
84	0.06848464405
85	0.0684524767
86	0.068429202
87	0.06839313727
88	0.06836317374
89	0.06833639075
90	0.06831338133
91	0.06827770697
92	0.06824592275
93	0.06821973319
94	0.068202509
95	0.06817722118
96	0.06814658762
97	0.0681211808
98	0.06810263911
99	0.06808089266
